customer_id,first_name,last_name,email,signup_date
1,John,Doe,john.doe@email.com,2024-01-15
2,Jane,Smith,jane.smith@email.com,2024-02-20
3,Alice,Johnson,alice.johnson@email.com,2024-03-10
4,Bob,Williams,bob.williams@email.com,2024-04-05
5,Emma,Brown,emma.brown@email.com,2024-05-18
6,Chris,Davis,chris.davis@email.com,2024-06-12
7,,Miller,miller@email.com,2024-07-01
8,Sarah,Wilson,sarah.wilson@email,2024-07-20
9,Tom,Moore,tom.moore@email.com,not_a_date
10,Lucy,Taylor,lucy.taylor@email.com,2024-08-10
