customer_id,first_name,last_name,email,signup_date
1,"  John  "," Doe ","  JOHN.DOE@email.com  ",2024-01-15
2,"Jane","Smith"," Jane.Smith@EMAIL.COM ",2024-02-20
3,"  Alice   ","  Johnson","alice.johnson@email.com",2024-03-10
4," Bob "," Williams "," bob.williams@email.com ",2024-04-05
5,"Emma","Brown","emma.brown@email.com",2024-05-18
6,"   Chris   ","   Davis   ","   CHRIS.DAVIS@email.com   ",2024-06-12
7,"Mary    Ann","Van    der    Berg","  Mary.Ann@email.com ",2024-07-01
8,""," Wilson ","   ",2024-07-20
9," Tom "," Moore "," TOM.MOORE@email.com ",2024-08-01
10," Lucy "," Taylor "," lucy.taylor@email.com ",2024-08-10
11,John,Doe,JOHN.DOE@email.com,2024-01-15
12,Jane,Smith,Jane.Smith@email.com,01/20/2024
13,Alice,Johnson,alice.johnson@email.com,15-03-2024
14,Bob,Williams,bob.williams@email.com,"Apr 05, 2024"
15,Emma,Brown,emma.brown@email.com," 2024/05/18 "
16,Chris,Davis,chris.davis@email.com,"June 12, 2024"
17,Mary,Miller,mary.miller@email.com,2024.07.01
18,Tom,Wilson,tom.wilson@email.com,2024-13-15
19,Lucy,Moore,lucy.moore@email.com,2024-02-30
20,David,Taylor,david.taylor@email.com,not_a_date
